id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher
32;Operatyba;Datalake;DIARIO;Diario;SyM  GdA FPV;0;tbd;0;"CREATE (Operatyba)-[frecuencia:DIARIO{detalle:""SyM  GdA FPV"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

33;ODSLab;WM_Lab;DIARIO;Diario;SyM WM;0;tbd;0;"CREATE (ODSLab)-[frecuencia:DIARIO{detalle:""SyM WM"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WM_Lab);"

34;Datalake;ODSLab;DIARIO;Diario;SyM WM;0;tbd;0;"CREATE (Datalake)-[frecuencia:DIARIO{detalle:""SyM WM"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ODSLab);"

35;Excel_SaldosOrion;ODSColombia;MENSUAL;Mensual;Saldos Comisionista;0;tbd;0;"CREATE (Excel_SaldosOrion)-[frecuencia:MENSUAL{detalle:""Saldos Comisionista"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ODSColombia);"

36;Excel_BaseClientes;Excel_BaseConsolidada;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (Excel_BaseClientes)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_BaseConsolidada);"

37;Excel_BaseConsolidada;ODSLab;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (Excel_BaseConsolidada)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ODSLab);"

38;ODSLab;WM_Lab_CL;MENSUAL;Mensual;Informaci¢n de clientes, SyM WM;0;tbd;0;"CREATE (ODSLab)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes, SyM WM"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WM_Lab_CL);"

39;ERP;Facturador;ONLINE;Online;Emisi¢n factura a clientes / Registro cuentas x pagar proveedor;0;tbd;0;"CREATE (ERP)-[frecuencia:ONLINE{detalle:""Emisi¢n factura a clientes / Registro cuentas x pagar proveedor"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Facturador);"
40;SPChile;ERP;DIARIO;Diario;Flujo de cartolas;98;Cartolas;0;"CREATE (SPChile)-[frecuencia:DIARIO{detalle:""Flujo de cartolas"", id_flujo:98, descripcion_flujo:""Cartolas"", secuencia_flujo:0}]->(ERP);"

41;RU;Excel_BaseConsolidada;MENSUAL;Mensual;SyM Fondos, mandatos e inmobiliarios;0;tbd;0;"CREATE (RU)-[frecuencia:MENSUAL{detalle:""SyM Fondos, mandatos e inmobiliarios"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_BaseConsolidada);"

42;Sebra;Excel_BaseConsolidada;MENSUAL;Mensual;SyM RF, RV y Spot forward;0;tbd;0;"CREATE (Sebra)-[frecuencia:MENSUAL{detalle:""SyM RF, RV y Spot forward"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_BaseConsolidada);"

43;Sebra;Asientos;DIARIO;Diario;Asientos contables;0;tbd;0;"CREATE (Sebra)-[frecuencia:DIARIO{detalle:""Asientos contables"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Asientos);"

44;Asientos;ReplicaSebra;DIARIO;Diario;Asientos contables;0;tbd;0;"CREATE (Asientos)-[frecuencia:DIARIO{detalle:""Asientos contables"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ReplicaSebra);"

45;Asientos;ERP;DIARIO;Diario;Asientos contables;0;tbd;0;"CREATE (Asientos)-[frecuencia:DIARIO{detalle:""Asientos contables"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ERP);"

46;ODSLab;WM_Lab_PE;DIARIO;Diario;Saldos y movimientos WM;0;tbd;0;"CREATE (ODSLab)-[frecuencia:DIARIO{detalle:""Saldos y movimientos WM"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WM_Lab_PE);"

